instant,casual,temp,season,holiday,workingday
109,409,0.505833,2,0,1
110,613,0.595,2,0,1
111,745,0.459167,2,0,1
112,177,0.336667,2,0,1
113,1462,0.46,2,0,0
114,1710,0.581667,2,0,0
115,773,0.606667,2,0,1
116,678,0.631667,2,0,1
117,547,0.62,2,0,1
118,569,0.6175,2,0,1
119,878,0.51,2,0,1
120,1965,0.4725,2,0,0
121,1138,0.451667,2,0,0
122,847,0.549167,2,0,1
123,603,0.616667,2,0,1
124,255,0.414167,2,0,1
125,614,0.459167,2,0,1
126,894,0.479167,2,0,1
127,1612,0.52,2,0,0
128,1401,0.528333,2,0,0
129,664,0.5325,2,0,1
130,694,0.5325,2,0,1
131,550,0.5425,2,0,1
132,695,0.535,2,0,1
133,692,0.5125,2,0,1
134,902,0.520833,2,0,0
135,1582,0.5625,2,0,0
136,773,0.5775,2,0,1
137,678,0.561667,2,0,1
138,536,0.55,2,0,1
139,735,0.530833,2,0,1
140,909,0.536667,2,0,1
141,2258,0.6025,2,0,0
142,1576,0.604167,2,0,0
143,836,0.631667,2,0,1
144,659,0.66,2,0,1
145,740,0.660833,2,0,1
146,758,0.708333,2,0,1
147,871,0.681667,2,0,1
148,2001,0.655833,2,0,0
149,2355,0.6675,2,0,0
150,1549,0.733333,2,1,0
151,673,0.775,2,0,1
152,513,0.764167,2,0,1
153,736,0.715,2,0,1
154,898,0.62,2,0,1
155,1869,0.635,2,0,0
156,1685,0.648333,2,0,0
157,673,0.678333,2,0,1
158,763,0.7075,2,0,1
159,676,0.775833,2,0,1
160,563,0.808333,2,0,1
161,815,0.755,2,0,1
162,1729,0.725,2,0,0
163,1467,0.6925,2,0,0
164,863,0.635,2,0,1
165,727,0.604167,2,0,1
166,769,0.626667,2,0,1
167,545,0.628333,2,0,1
168,863,0.649167,2,0,1
169,1807,0.696667,2,0,0
170,1639,0.699167,2,0,0
171,699,0.635,2,0,1
172,774,0.680833,3,0,1
173,661,0.733333,3,0,1
174,746,0.728333,3,0,1
175,969,0.724167,3,0,1
176,1782,0.695,3,0,0
177,1920,0.68,3,0,0
178,854,0.6825,3,0,1
179,732,0.744167,3,0,1
180,848,0.728333,3,0,1
181,1027,0.696667,3,0,1
182,1246,0.7225,3,0,1
183,2204,0.738333,3,0,0
184,2282,0.716667,3,0,0
185,3065,0.726667,3,1,0
186,1031,0.746667,3,0,1
187,784,0.72,3,0,1
188,754,0.75,3,0,1
189,692,0.709167,3,0,1
190,1988,0.733333,3,0,0
191,1743,0.7475,3,0,0
192,723,0.7625,3,0,1
193,662,0.794167,3,0,1
194,748,0.746667,3,0,1
195,888,0.680833,3,0,1
196,1318,0.663333,3,0,1
197,2418,0.686667,3,0,0
198,2006,0.719167,3,0,0
199,841,0.746667,3,0,1
200,752,0.776667,3,0,1
201,644,0.768333,3,0,1
202,632,0.815,3,0,1
203,562,0.848333,3,0,1
204,987,0.849167,3,0,0
205,1050,0.83,3,0,0
206,568,0.743333,3,0,1
207,750,0.771667,3,0,1
208,755,0.775,3,0,1
209,606,0.779167,3,0,1
210,670,0.838333,3,0,1
211,1559,0.804167,3,0,0
212,1524,0.805833,3,0,0
213,729,0.771667,3,0,1
214,801,0.783333,3,0,1
215,467,0.731667,3,0,1
216,799,0.71,3,0,1
217,1023,0.710833,3,0,1
218,1521,0.716667,3,0,0
219,1298,0.7425,3,0,0
220,846,0.765,3,0,1
221,907,0.775,3,0,1
222,884,0.766667,3,0,1
223,812,0.7175,3,0,1
224,1051,0.708333,3,0,1
225,1504,0.685833,3,0,0
226,1338,0.676667,3,0,0
227,775,0.665833,3,0,1
228,721,0.700833,3,0,1
229,668,0.723333,3,0,1
230,639,0.711667,3,0,1
231,797,0.685,3,0,1
232,1914,0.6975,3,0,0
233,1249,0.710833,3,0,0
234,833,0.691667,3,0,1
235,1281,0.640833,3,0,1
236,949,0.673333,3,0,1
237,435,0.684167,3,0,1
238,768,0.7,3,0,1
239,226,0.68,3,0,0
240,1415,0.707059,3,0,0
241,729,0.636667,3,0,1
242,775,0.639167,3,0,1
243,688,0.656667,3,0,1
244,783,0.655,3,0,1
245,875,0.643333,3,0,1
246,1935,0.669167,3,0,0
247,2521,0.709167,3,0,0
248,1236,0.673333,3,1,0
249,204,0.54,3,0,1
250,118,0.599167,3,0,1
251,153,0.633913,3,0,1
252,417,0.65,3,0,1
253,1750,0.66,3,0,0
254,1633,0.653333,3,0,0
255,690,0.644348,3,0,1
256,701,0.650833,3,0,1
257,647,0.673333,3,0,1
258,428,0.5775,3,0,1
259,742,0.469167,3,0,1
260,1434,0.491667,3,0,0
261,1353,0.5075,3,0,0
262,691,0.549167,3,0,1
263,438,0.561667,3,0,1
264,539,0.595,3,0,1
265,555,0.628333,3,0,1
266,258,0.609167,4,0,1
267,1776,0.606667,4,0,0
268,1544,0.634167,4,0,0
269,684,0.649167,4,0,1
270,477,0.636667,4,0,1
271,480,0.635,4,0,1
272,653,0.616667,4,0,1
273,830,0.564167,4,0,1
274,480,0.41,4,0,0
275,616,0.356667,4,0,0
276,330,0.384167,4,0,1
277,486,0.484167,4,0,1
278,559,0.538333,4,0,1
279,639,0.494167,4,0,1
280,949,0.510833,4,0,1
281,2235,0.521667,4,0,0
282,2397,0.540833,4,0,0
283,1514,0.570833,4,1,0
284,667,0.566667,4,0,1
285,217,0.543333,4,0,1
286,290,0.589167,4,0,1
287,529,0.550833,4,0,1
288,1899,0.506667,4,0,0
289,1748,0.511667,4,0,0
290,713,0.534167,4,0,1
291,637,0.5325,4,0,1
292,254,0.541739,4,0,1
293,471,0.475833,4,0,1
294,676,0.4275,4,0,1
295,1499,0.4225,4,0,0
296,1619,0.421667,4,0,0
297,699,0.463333,4,0,1
298,695,0.471667,4,0,1
299,404,0.484167,4,0,1
300,240,0.47,4,0,1
301,456,0.330833,4,0,1
302,57,0.254167,4,0,0
303,885,0.319167,4,0,0
304,362,0.34,4,0,1
305,410,0.400833,4,0,1
306,370,0.3775,4,0,1
307,318,0.408333,4,0,1
308,470,0.403333,4,0,1
309,1156,0.326667,4,0,0
310,952,0.348333,4,0,0
311,373,0.395,4,0,1
312,376,0.408333,4,0,1
313,305,0.4,4,0,1
314,190,0.38,4,0,1
315,440,0.324167,4,1,0
316,1275,0.356667,4,0,0
317,1004,0.440833,4,0,0
318,595,0.53,4,0,1
319,449,0.53,4,0,1
320,145,0.456667,4,0,1
321,139,0.341667,4,0,1
322,245,0.274167,4,0,1
323,943,0.329167,4,0,0
324,787,0.463333,4,0,0
325,220,0.4475,4,0,1
326,69,0.416667,4,0,1
327,112,0.440833,4,0,1
328,560,0.373333,4,1,0
329,1095,0.375,4,0,1
330,1249,0.375833,4,0,0
331,810,0.459167,4,0,0
332,253,0.503478,4,0,1
333,96,0.458333,4,0,1
334,188,0.325,4,0,1
335,182,0.3125,4,0,1
336,268,0.314167,4,0,1
337,706,0.299167,4,0,0
338,634,0.330833,4,0,0
339,233,0.385833,4,0,1
340,126,0.4625,4,0,1
341,50,0.41,4,0,1
342,150,0.265833,4,0,1
343,261,0.290833,4,0,1
344,502,0.275,4,0,0
345,377,0.220833,4,0,0
346,143,0.238333,4,0,1
347,155,0.2825,4,0,1
348,178,0.3175,4,0,1
349,181,0.4225,4,0,1
350,178,0.375,4,0,1
351,275,0.258333,4,0,0
352,220,0.238333,4,0,0
353,260,0.276667,4,0,1
354,216,0.385833,4,0,1
355,107,0.428333,1,0,1
356,227,0.423333,1,0,1
357,163,0.373333,1,0,1
358,155,0.3025,1,0,0
359,303,0.274783,1,0,0
360,430,0.321739,1,1,0
361,103,0.325,1,0,1
362,255,0.29913,1,0,1
363,254,0.248333,1,0,1
364,491,0.311667,1,0,1
365,665,0.41,1,0,0
366,686,0.37,1,0,0
