signal bandwidth legacy_users speed
-89.24 67.58 5 42.91
-80.89 20.48 8 35.07
-84.22 11.7 8 28.03
-77.25 66.03 3 43.22
-90.62 7.52 4 23.19
-87.62 60.65 8 35.82
-88.14 94.32 9 54.95
-96.71 59.67 8 41.24
-82.63 41.88 8 35.18
-82.91 66.11 9 45.2
-84.96 48.53 7 35.95
-86.88 56.83 11 40.94
-96.32 94.44 10 44.7
-88.37 41.68 10 39.15
-87.74 96.31 9 56.76
-91.42 91.01 6 53.66
-86.29 23.6 5 27.84
-81.77 11.59 9 25.42
-69.91 14.57 6 28.5
-83.6 6.73 5 18.29
-82.94 13.97 8 30.92
-85.6 69.89 9 52.72
-100.35 11.76 12 10.29
-85.21 35.3 8 33.24
-84.52 85.26 14 50.74
-65.29 7.21 3 34.03
-86.54 82.37 6 45.68
-82.59 31.78 8 37.51
-85.28 16.23 10 25.06
-94.35 71.19 4 41.3
-75.86 64.75 6 52.88
-78.98 88.36 9 54.93
-78.67 74.83 7 49.98
-92.28 81.33 11 44.78
-73.78 31.79 11 40.75
-96.21 21.86 8 21.83
-80.31 76.31 10 50.09
-67.48 81.65 8 66.57
-92.92 99.1 5 51.29
-89.53 44.2 5 35.02
-84.2 40.34 12 40.85
-89.03 78.76 7 45.18
-97.41 37.38 13 33.76
-84.45 93.42 6 54.3
-93.5 86.55 7 45.34
-81.21 45.75 12 43.5
-92.36 76.33 8 37.62
-72.6 76.68 12 51.34
-91.27 14.8 3 17.77
-87.58 90.74 9 50.89
-78.49 53.0 6 52.6
-94.85 83.51 6 53.14
-83.18 35.4 8 39.42
-74.54 90.07 8 59.99
-97.86 41.97 6 23.23
-83.52 6.03 5 18.77
-82.92 91.01 9 50.03
-78.75 13.67 11 26.91
-94.9 35.33 7 29.14
-95.56 95.26 9 44.69
-80.82 95.31 4 47.52
-82.62 59.48 4 48.12
-83.0 65.02 6 42.2
-82.23 47.6 4 42.67
-90.44 32.86 10 39.83
-83.14 36.22 10 33.52
-82.66 68.89 9 37.64
-90.71 76.48 15 43.78
-70.07 80.2 7 62.66
-81.21 80.01 13 59.36
-94.53 13.66 5 15.0
-79.75 51.97 10 46.58
-92.8 10.47 7 17.02
-78.7 57.21 11 46.39
-75.73 46.95 7 55.97
-91.57 89.33 10 41.58
-77.29 38.34 9 42.5
-81.7 16.12 12 30.92
-78.42 18.58 5 36.69
-69.83 77.34 6 58.07
-86.96 63.73 8 44.98
-91.03 14.61 11 21.01
-92.12 12.99 5 22.03
-91.53 71.59 6 41.79
-85.62 11.91 7 26.65
-82.27 83.08 10 50.17
-82.79 72.09 7 50.04
-78.38 12.73 8 28.91
-84.9 13.06 9 29.83
-73.37 98.73 7 60.48
-87.12 40.56 7 29.3
-63.24 40.21 8 55.64
-79.99 82.22 11 49.18
-91.86 94.99 12 46.13
-93.57 98.67 8 46.18
-81.14 76.57 11 56.19
-86.79 40.74 5 28.11
-79.29 12.93 10 41.16
-81.21 78.83 9 55.45
-85.58 58.05 9 43.83
-91.77 45.3 7 35.0
-97.12 91.1 9 45.82
-88.57 15.56 12 26.69
-78.15 51.8 7 48.08
-83.29 6.08 10 23.34
-94.97 49.52 7 35.05
-83.61 10.35 4 23.52
-81.92 16.29 9 28.41
-92.07 16.16 4 22.07
-83.77 66.67 7 51.02
-84.53 75.87 15 50.85
-94.14 60.42 10 26.73
